DATE,MABMM301USM189S
1970-03-01,587300000000
1970-04-01,588400000000
1970-05-01,591500000000
1970-06-01,595200000000
1970-07-01,599100000000
1970-08-01,604900000000
1970-09-01,611200000000
1970-10-01,616400000000
1970-11-01,621100000000
1970-12-01,626500000000
1971-01-01,632900000000
1971-02-01,641000000000
1971-03-01,649900000000
1971-04-01,658400000000
1971-05-01,666700000000
1971-06-01,673000000000
1971-07-01,679600000000
1971-08-01,685500000000
1971-09-01,692500000000
1971-10-01,698400000000
1971-11-01,704600000000
1971-12-01,710300000000
1972-01-01,717700000000
1972-02-01,725700000000
1972-03-01,733500000000
1972-04-01,738400000000
1972-05-01,743300000000
1972-06-01,749700000000
1972-07-01,759500000000
1972-08-01,768700000000
1972-09-01,778300000000
1972-10-01,786900000000
1972-11-01,793900000000
1972-12-01,802300000000
1973-01-01,810300000000
1973-02-01,814100000000
1973-03-01,815300000000
1973-04-01,819700000000
1973-05-01,826800000000
1973-06-01,833300000000
1973-07-01,836500000000
1973-08-01,838800000000
1973-09-01,839300000000
1973-10-01,842600000000
1973-11-01,848900000000
1973-12-01,855500000000
1974-01-01,859700000000
1974-02-01,864200000000
1974-03-01,870100000000
1974-04-01,872900000000
1974-05-01,874600000000
1974-06-01,877800000000
1974-07-01,881400000000
1974-08-01,884100000000
1974-09-01,887900000000
1974-10-01,893300000000
1974-11-01,898600000000
1974-12-01,902100000000
1975-01-01,906300000000
1975-02-01,914100000000
1975-03-01,925000000000
1975-04-01,935100000000
1975-05-01,947900000000
1975-06-01,963000000000
1975-07-01,975100000000
1975-08-01,983100000000
1975-09-01,991500000000
1975-10-01,997800000000
1975-11-01,1006900000000
1975-12-01,1016200000000
1976-01-01,1026599999999.9999
1976-02-01,1040300000000
1976-03-01,1050000000000
1976-04-01,1060800000000
1976-05-01,1072099999999.9999
1976-06-01,1077599999999.9999
1976-07-01,1086300000000
1976-08-01,1098700000000
1976-09-01,1110800000000
1976-10-01,1125000000000
1976-11-01,1138200000000
1976-12-01,1152000000000
1977-01-01,1165200000000
1977-02-01,1177600000000
1977-03-01,1188500000000
1977-04-01,1199600000000
1977-05-01,1209000000000
1977-06-01,1217800000000
1977-07-01,1226700000000
1977-08-01,1237000000000
1977-09-01,1246200000000
1977-10-01,1254000000000
1977-11-01,1262400000000
1977-12-01,1270300000000
1978-01-01,1279700000000
1978-02-01,1285500000000
1978-03-01,1292200000000
1978-04-01,1300400000000
1978-05-01,1310500000000
1978-06-01,1318500000000
1978-07-01,1324100000000
1978-08-01,1333500000000
1978-09-01,1345000000000
1978-10-01,1352300000000
1978-11-01,1359100000000
1978-12-01,1366000000000
1979-01-01,1371600000000
1979-02-01,1377800000000
1979-03-01,1387800000000
1979-04-01,1402100000000
1979-05-01,1410200000000
1979-06-01,1423000000000
1979-07-01,1434800000000
1979-08-01,1446600000000
1979-09-01,1454100000000
1979-10-01,1460400000000
1979-11-01,1465900000000
1979-12-01,1473700000000
1980-01-01,1482700000000
1980-02-01,1494600000000
1980-03-01,1499800000000
1980-04-01,1502200000000
1980-05-01,1512300000000
1980-06-01,1529200000000
1980-07-01,1545500000000
1980-08-01,1561500000000
1980-09-01,1574000000000
1980-10-01,1584800000000
1980-11-01,1595800000000
1980-12-01,1599800000000
1981-01-01,1606900000000
1981-02-01,1618700000000
1981-03-01,1636600000000
1981-04-01,1659200000000
1981-05-01,1664200000000
1981-06-01,1670300000000
1981-07-01,1681900000000
1981-08-01,1694300000000
1981-09-01,1706000000000
1981-10-01,1721800000000
1981-11-01,1736100000000
1981-12-01,1755500000000
1982-01-01,1770400000000
1982-02-01,1774500000000
1982-03-01,1786500000000
1982-04-01,1803900000000
1982-05-01,1815400000000
1982-06-01,1826000000000
1982-07-01,1831500000000.0
1982-08-01,1845200000000.0
1982-09-01,1858400000000.0
1982-10-01,1869700000000.0
1982-11-01,1883700000000.0
1982-12-01,1905900000000.0
1983-01-01,1959400000000.0
1983-02-01,1996800000000.0
1983-03-01,2015200000000.0
1983-04-01,2028600000000.0
1983-05-01,2043100000000.0
1983-06-01,2053500000000.0
1983-07-01,2064800000000.0002
1983-08-01,2074000000000.0
1983-09-01,2083199999999.9998
1983-10-01,2099199999999.9998
1983-11-01,2112300000000.0002
1983-12-01,2123500000000.0
1984-01-01,2138199999999.9998
1984-02-01,2158199999999.9998
1984-03-01,2175199999999.9998
1984-04-01,2191699999999.9998
1984-05-01,2204100000000.0
1984-06-01,2215100000000.0
1984-07-01,2223500000000.0
1984-08-01,2230400000000.0
1984-09-01,2244400000000.0
1984-10-01,2258900000000.0
1984-11-01,2281400000000.0
1984-12-01,2306400000000.0
1985-01-01,2332400000000.0
1985-02-01,2354100000000.0
1985-03-01,2366200000000.0
1985-04-01,2375400000000.0
1985-05-01,2389500000000.0
1985-06-01,2412600000000.0
1985-07-01,2429500000000.0
1985-08-01,2444000000000.0
1985-09-01,2456400000000.0
1985-10-01,2468000000000.0
1985-11-01,2477800000000.0
1985-12-01,2492100000000.0
1986-01-01,2502100000000.0
1986-02-01,2512900000000.0
1986-03-01,2533100000000.0
1986-04-01,2557800000000.0
1986-05-01,2584800000000.0
1986-06-01,2605000000000.0
1986-07-01,2626600000000.0
1986-08-01,2646500000000.0
1986-09-01,2667800000000.0
1986-10-01,2687400000000.0
1986-11-01,2701300000000.0
1986-12-01,2728000000000.0
1987-01-01,2743900000000.0
1987-02-01,2747500000000.0
1987-03-01,2753700000000.0
1987-04-01,2767700000000.0
1987-05-01,2772900000000.0
1987-06-01,2774600000000.0
1987-07-01,2779000000000.0
1987-08-01,2788200000000.0
1987-09-01,2799500000000.0
1987-10-01,2814800000000.0
1987-11-01,2818900000000.0
1987-12-01,2826400000000.0
1988-01-01,2847400000000.0
1988-02-01,2870400000000.0
1988-03-01,2890700000000.0
1988-04-01,2910700000000.0
1988-05-01,2926000000000.0
1988-06-01,2938400000000.0
1988-07-01,2947200000000.0
1988-08-01,2952000000000.0
1988-09-01,2956900000000.0
1988-10-01,2965300000000.0
1988-11-01,2980200000000.0
1988-12-01,2988200000000.0
1989-01-01,2991700000000.0
1989-02-01,2992200000000.0
1989-03-01,2999700000000.0
1989-04-01,3006000000000.0
1989-05-01,3011600000000.0
1989-06-01,3027900000000.0
1989-07-01,3052400000000.0
1989-08-01,3074400000000.0
1989-09-01,3092500000000.0
1989-10-01,3114100000000.0
1989-11-01,3133300000000.0
1989-12-01,3152500000000.0
1990-01-01,3166800000000.0
1990-02-01,3179200000000.0
1990-03-01,3190100000000.0
1990-04-01,3201600000000.0
1990-05-01,3200600000000.0
1990-06-01,3213700000000.0
1990-07-01,3224500000000.0
1990-08-01,3242000000000.0
1990-09-01,3254600000000.0
1990-10-01,3259300000000.0
1990-11-01,3262600000000.0
1990-12-01,3271800000000.0
1991-01-01,3287700000000.0
1991-02-01,3304500000000.0
1991-03-01,3321900000000.0
